,OpenTime,ETH-USD_Open,ETH-USD_High,ETH-USD_Low,ETH-USD_Close,ETH-USD_volume,CloseTime,ETH-QuoteAssetVolume,ETH-NumberOfTrades,ETH-TBBAV,ETH-TBQAV,ETH-ignore
68,2023-01-13 12:00:00,1411.66,1424.78,1410.65,1417.12,25660.1376,2023-01-13 12:59:59.999,36373674.730124,31227.0,14023.0426,19876041.855643,0.0
69,2023-01-13 13:00:00,1417.12,1425.28,1415.86,1416.32,17050.6604,2023-01-13 13:59:59.999,24213678.780329,24323.0,9239.2104,13120791.704114,0.0
70,2023-01-13 14:00:00,1416.32,1420.67,1414.71,1420.23,13532.5816,2023-01-13 14:59:59.999,19180818.689431,21343.0,7041.41,9980116.5535,0.0
71,2023-01-13 15:00:00,1420.23,1430.95,1417.35,1426.73,27376.6843,2023-01-13 15:59:59.999,38992110.776534,32843.0,15954.6513,22727599.014925,0.0
72,2023-01-13 16:00:00,1426.73,1462.0,1420.77,1455.14,64967.6627,2023-01-13 16:59:59.999,93809272.668114,80055.0,34574.4703,49924376.169053,0.0
73,2023-01-13 17:00:00,1455.13,1464.0,1448.19,1453.35,34358.2051,2023-01-13 17:59:59.999,50105747.169618,46552.0,15482.8126,22579986.147588,0.0
74,2023-01-13 18:00:00,1453.38,1456.91,1442.0,1451.2,20509.3143,2023-01-13 18:59:59.999,29734396.476241,28643.0,10761.1396,15603317.760338,0.0
75,2023-01-13 19:00:00,1451.21,1599.98,1449.14,1540.62,197822.7579,2023-01-13 19:59:59.999,301361171.320915,250202.0,113097.5326,172218422.379457,0.0
76,2023-01-13 20:00:00,1540.61,1560.58,1536.0,1551.74,85121.8741,2023-01-13 20:59:59.999,131831120.478719,84244.0,41574.4218,64391586.633568,0.0
77,2023-01-13 21:00:00,1551.74,1560.0,1549.69,1557.75,46290.7768,2023-01-13 21:59:59.999,72026054.236433,52720.0,23766.7501,36982601.038062,0.0
78,2023-01-13 22:00:00,1557.74,1559.5,1547.46,1556.08,37642.273,2023-01-13 22:59:59.999,58481237.245538,38672.0,19187.6002,29807916.273904,0.0
79,2023-01-13 23:00:00,1556.08,1557.62,1550.98,1553.23,23152.6086,2023-01-13 23:59:59.999,35978825.812693,29074.0,11241.2229,17469031.607602,0.0
80,2023-01-14 00:00:00,1553.23,1554.26,1541.28,1546.63,29703.5939,2023-01-14 00:59:59.999,45947349.047854,34025.0,12657.8236,19578545.807444,0.0
81,2023-01-14 01:00:00,1546.63,1557.06,1546.63,1556.57,21163.7823,2023-01-14 01:59:59.999,32836921.865615,33353.0,12167.5035,18877825.159046,0.0
82,2023-01-14 02:00:00,1556.56,1557.47,1549.68,1553.43,20008.4487,2023-01-14 02:59:59.999,31096090.471405,29447.0,10813.6117,16805847.553923,0.0
83,2023-01-14 03:00:00,1553.43,1564.69,1552.59,1563.0,25846.6101,2023-01-14 03:59:59.999,40322533.275218,39963.0,14922.3765,23276263.979022,0.0
84,2023-01-14 04:00:00,1563.0,1563.68,1507.74,1522.7,113617.1695,2023-01-14 04:59:59.999,173620069.449857,113687.0,52602.0435,80331052.269276,0.0
85,2023-01-14 05:00:00,1522.69,1523.54,1503.34,1522.29,36162.2919,2023-01-14 05:59:59.999,54814319.775664,46275.0,17623.4078,26718295.839417,0.0
86,2023-01-14 06:00:00,1522.29,1536.0,1521.78,1530.09,26633.7524,2023-01-14 06:59:59.999,40734352.270228,37083.0,13822.2321,21137121.078676,0.0
87,2023-01-14 07:00:00,1530.08,1546.88,1520.59,1538.67,32936.3961,2023-01-14 07:59:59.999,50580214.238373,42640.0,16333.6602,25085123.634239,0.0
88,2023-01-14 08:00:00,1538.68,1540.28,1529.41,1533.35,23346.0707,2023-01-14 08:59:59.999,35802987.284721,40527.0,11157.9492,17110834.73288,0.0
89,2023-01-14 09:00:00,1533.34,1546.84,1507.15,1522.72,67022.5268,2023-01-14 09:59:59.999,102301652.529935,75148.0,30946.8338,47242163.229587,0.0
90,2023-01-14 10:00:00,1522.71,1528.61,1516.76,1525.18,28036.1585,2023-01-14 10:59:59.999,42708705.949673,34407.0,14787.3734,22526749.834467,0.0
91,2023-01-14 11:00:00,1525.19,1532.62,1523.18,1528.72,19675.4437,2023-01-14 11:59:59.999,30055108.506651,33647.0,10338.6066,15792545.942766,0.0
92,2023-01-14 12:00:00,1528.73,1536.96,1526.69,1529.26,17743.9177,2023-01-14 12:59:59.999,27178546.106566,26115.0,9468.0719,14502103.41221,0.0
93,2023-01-14 13:00:00,1529.27,1535.18,1525.29,1533.01,16101.2446,2023-01-14 13:59:59.999,24635717.656354,23853.0,7500.3442,11476817.952789,0.0
94,2023-01-14 14:00:00,1533.0,1538.2,1526.67,1529.49,16207.9358,2023-01-14 14:59:59.999,24839345.936552,22406.0,8440.4257,12936057.004668,0.0
95,2023-01-14 15:00:00,1529.49,1537.56,1527.12,1534.97,9248.964,2023-01-14 15:59:59.999,14176644.815478,16754.0,4757.5196,7291887.097915,0.0
96,2023-01-14 16:00:00,1534.97,1541.56,1531.12,1538.61,15097.2271,2023-01-14 16:59:59.999,23197281.576035,25980.0,7960.6668,12231068.216545,0.0
97,2023-01-14 17:00:00,1538.61,1559.91,1537.61,1551.06,17498.8495,2023-01-14 17:59:59.999,27098891.33054,32786.0,10384.4202,16083570.319809,0.0
98,2023-01-14 18:00:00,1551.06,1554.43,1544.61,1549.9,14611.1037,2023-01-14 18:59:59.999,22658677.008154,24791.0,7289.824,11304747.579951,0.0
99,2023-01-14 19:00:00,1549.91,1552.22,1516.12,1527.99,44623.6036,2023-01-14 19:59:59.999,68338286.360971,59867.0,20396.2823,31219749.847526,0.0
100,2023-01-14 20:00:00,1528.0,1530.28,1519.51,1528.4,16397.0923,2023-01-14 20:59:59.999,25000818.658524,25652.0,8088.728,12333399.057186,0.0
101,2023-01-14 21:00:00,1528.4,1531.35,1519.71,1522.23,10045.8548,2023-01-14 21:59:59.999,15324851.313332,18546.0,4618.3868,7045402.294725,0.0
102,2023-01-14 22:00:00,1522.23,1526.85,1516.03,1525.4,15047.0725,2023-01-14 22:59:59.999,22900054.447691,22751.0,7515.502,11438296.8082,0.0
103,2023-01-14 23:00:00,1525.4,1529.17,1524.71,1526.64,6283.6017,2023-01-14 23:59:59.999,9594505.87382,13702.0,3345.8802,5109162.387842,0.0
104,2023-01-15 00:00:00,1526.63,1530.25,1524.33,1528.42,7674.688,2023-01-15 00:59:59.999,11725919.231072,14460.0,3794.4909,5798300.739811,0.0
105,2023-01-15 01:00:00,1528.42,1529.61,1524.3,1525.72,5116.0393,2023-01-15 01:59:59.999,7813895.62466,13021.0,2398.0636,3662622.252573,0.0
106,2023-01-15 02:00:00,1525.73,1529.17,1521.54,1529.16,8500.8173,2023-01-15 02:59:59.999,12967445.40202,17589.0,3750.3909,5721480.955388,0.0
107,2023-01-15 03:00:00,1529.16,1530.78,1518.76,1523.03,15540.5906,2023-01-15 03:59:59.999,23681325.949422,29251.0,7087.8034,10800593.887471,0.0
108,2023-01-15 04:00:00,1523.03,1533.3,1520.0,1532.74,15970.0947,2023-01-15 04:59:59.999,24361302.58373,22041.0,8616.0227,13147302.058419,0.0
109,2023-01-15 05:00:00,1532.74,1533.14,1527.49,1532.04,10872.1774,2023-01-15 05:59:59.999,16639190.263899,15947.0,5207.2906,7969931.110291,0.0
110,2023-01-15 06:00:00,1532.03,1535.04,1528.54,1533.35,13134.3107,2023-01-15 06:59:59.999,20121699.374556,16573.0,6515.5442,9982857.24103,0.0
111,2023-01-15 07:00:00,1533.36,1538.86,1528.93,1531.95,12233.4082,2023-01-15 07:59:59.999,18750028.760597,19703.0,5771.0307,8845483.191707,0.0
112,2023-01-15 08:00:00,1531.94,1540.93,1530.08,1531.79,15769.4389,2023-01-15 08:59:59.999,24189031.579477,23033.0,8848.001,13573480.481458,0.0
113,2023-01-15 09:00:00,1531.79,1543.06,1531.0,1540.09,14423.4373,2023-01-15 09:59:59.999,22157741.607828,25075.0,8348.2085,12825651.675649,0.0
114,2023-01-15 10:00:00,1540.08,1560.16,1538.24,1556.35,32195.1201,2023-01-15 10:59:59.999,49881672.216105,42550.0,16648.7706,25790779.674727,0.0
115,2023-01-15 11:00:00,1556.35,1563.52,1543.36,1545.25,26716.173,2023-01-15 11:59:59.999,41447047.575333,40215.0,13070.4325,20278223.444024,0.0
116,2023-01-15 12:00:00,1545.25,1566.66,1545.25,1551.36,30255.5846,2023-01-15 12:59:59.999,47024143.673697,39693.0,16294.5098,25334810.457788,0.0
117,2023-01-15 13:00:00,1551.36,1551.76,1533.0,1547.87,33402.064,2023-01-15 13:59:59.999,51514816.996294,38180.0,15289.9587,23582805.383376,0.0
118,2023-01-15 14:00:00,1547.88,1557.19,1542.0,1550.15,12639.9878,2023-01-15 14:59:59.999,19600236.682667,21337.0,6275.1689,9729872.375965,0.0
119,2023-01-15 15:00:00,1550.14,1554.55,1546.08,1553.68,8586.0041,2023-01-15 15:59:59.999,13312305.397732,16199.0,4713.0214,7308461.491507,0.0
120,2023-01-15 16:00:00,1553.68,1554.48,1548.74,1551.96,6095.9189,2023-01-15 16:59:59.999,9460038.456441,13861.0,2925.3676,4539207.96488,0.0
121,2023-01-15 17:00:00,1551.96,1560.52,1542.29,1557.55,13277.8361,2023-01-15 17:59:59.999,20576541.998165,21900.0,6789.3218,10525110.496806,0.0
122,2023-01-15 18:00:00,1557.55,1560.93,1547.69,1552.52,13031.7979,2023-01-15 18:59:59.999,20243852.26981,19034.0,6191.5118,9615091.871652,0.0
123,2023-01-15 19:00:00,1552.52,1560.4,1540.54,1557.06,20290.3028,2023-01-15 19:59:59.999,31470683.993744,35936.0,9964.8939,15451770.670803,0.0
124,2023-01-15 20:00:00,1557.06,1577.92,1553.83,1568.02,48436.4934,2023-01-15 20:59:59.999,75899138.156558,56605.0,26046.7506,40811911.697659,0.0
125,2023-01-15 21:00:00,1568.03,1584.58,1563.15,1572.5,35067.2241,2023-01-15 21:59:59.999,55260725.839948,42711.0,16830.9805,26514882.518234,0.0
126,2023-01-15 22:00:00,1572.51,1574.48,1564.1,1569.19,24010.6047,2023-01-15 22:59:59.999,37655746.716932,27875.0,9988.3493,15664958.998446,0.0
127,2023-01-15 23:00:00,1569.19,1573.77,1567.44,1572.32,12963.9078,2023-01-15 23:59:59.999,20357831.043875,18333.0,7497.3514,11773343.934815,0.0
128,2023-01-16 00:00:00,1572.33,1577.2,1571.0,1576.03,15461.1216,2023-01-16 00:59:59.999,24327506.845675,20652.0,7724.6591,12154382.30578,0.0
129,2023-01-16 01:00:00,1576.03,1578.54,1569.36,1571.2,22153.4002,2023-01-16 01:59:59.999,34849876.41608,31739.0,10046.5201,15804297.786334,0.0
130,2023-01-16 02:00:00,1571.2,1571.33,1562.25,1565.95,13740.4517,2023-01-16 02:59:59.999,21529670.371035,21613.0,5633.238,8827591.541183,0.0
131,2023-01-16 03:00:00,1565.96,1566.25,1523.2,1537.45,62033.1757,2023-01-16 03:59:59.999,95576014.405643,76102.0,27850.983,42907914.947765,0.0
132,2023-01-16 04:00:00,1537.46,1545.72,1536.0,1544.4,12060.3949,2023-01-16 04:59:59.999,18587042.919526,23736.0,6132.9389,9452688.003829,0.0
133,2023-01-16 05:00:00,1544.4,1552.97,1544.03,1546.98,12317.3857,2023-01-16 05:59:59.999,19070826.269336,22699.0,5513.9578,8537421.864694,0.0
134,2023-01-16 06:00:00,1546.98,1548.4,1539.54,1542.32,11437.1063,2023-01-16 06:59:59.999,17652003.931344,20134.0,4943.0874,7629461.587268,0.0
135,2023-01-16 07:00:00,1542.31,1546.18,1537.85,1539.0,10984.2616,2023-01-16 07:59:59.999,16946412.889276,19888.0,4578.1038,7063494.257993,0.0
136,2023-01-16 08:00:00,1539.0,1545.96,1539.0,1544.67,18137.6561,2023-01-16 08:59:59.999,27982721.39224,20889.0,9405.4904,14512661.99367,0.0
137,2023-01-16 09:00:00,1544.67,1549.27,1531.79,1542.37,18976.7703,2023-01-16 09:59:59.999,29260543.190863,30577.0,9164.489,14132477.872487,0.0
138,2023-01-16 10:00:00,1542.37,1553.38,1521.31,1549.97,41096.5336,2023-01-16 10:59:59.999,63248367.875046,54829.0,20498.7035,31559409.7053,0.0
139,2023-01-16 11:00:00,1549.97,1559.32,1545.71,1551.51,17461.3409,2023-01-16 11:59:59.999,27097303.46925,32109.0,9213.7965,14296159.786572,0.0
140,2023-01-16 12:00:00,1551.51,1562.14,1548.66,1561.44,20082.4765,2023-01-16 12:59:59.999,31240797.61299,33865.0,10185.9854,15846414.364036,0.0
141,2023-01-16 13:00:00,1561.45,1574.69,1557.4,1572.55,20449.2754,2023-01-16 13:59:59.999,32028134.778347,30374.0,11757.2235,18417709.503879,0.0
142,2023-01-16 14:00:00,1572.54,1604.5,1571.69,1591.23,60767.0368,2023-01-16 14:59:59.999,96564211.016426,75761.0,34609.3071,54994540.742394,0.0
143,2023-01-16 15:00:00,1591.22,1599.26,1584.13,1587.02,19967.4795,2023-01-16 15:59:59.999,31746928.54555,31534.0,10374.1787,16495287.816105,0.0
144,2023-01-16 16:00:00,1587.02,1587.58,1574.0,1579.58,23120.9395,2023-01-16 16:59:59.999,36523061.113042,34432.0,10234.2661,16167695.049123,0.0
145,2023-01-16 17:00:00,1579.59,1585.88,1578.2,1580.0,11020.9998,2023-01-16 17:59:59.999,17433761.970534,18108.0,5227.4025,8268474.931952,0.0
146,2023-01-16 18:00:00,1580.01,1582.69,1572.95,1576.94,22586.5564,2023-01-16 18:59:59.999,35644442.166724,21942.0,9930.7801,15673654.148158,0.0
